"KDSATKER","KDDEPT","KDAKUN","REALISASI"
"097830","005","425131",31559746
"097844","005","425131",12832636
"097851","005","425131",7982190
"097865","005","425131",11949050
"097872","005","425131",1046430
"097886","005","425131",6103800
"097890","005","425131",10737312
"097908","005","425131",4276977
"097912","005","425131",8392810
"097929","005","425131",5448000
"097933","005","425131",4153800
"097940","005","425131",5509378
"097954","005","425131",7734305
"097961","005","425131",11121600
"097975","005","425131",1800555
"097982","005","425131",4115000
"097996","005","425131",8986210
"098001","005","425131",15596668
"098015","005","425131",11135600
"098022","005","425131",3333995
"098036","005","425131",6155448
"098040","005","425131",5200000
"098057","005","425131",23415000
"098061","005","425131",32961084
"098078","005","425131",5492930
"098082","005","425131",28003200
"098104","005","425131",8948401
"098111","005","425131",73524400
"098125","005","425131",10741566
"098132","005","425131",6825000
"098146","005","425131",11988000
"098150","005","425131",38549900
"098167","005","425131",1305000
"098171","005","425131",2149000
"098188","005","425131",9112092
"098192","005","425131",7168200
"098200","005","425131",18799935
"098214","005","425131",23408900
"098221","005","425131",2763429
"098235","005","425131",18768200
"098242","005","425131",4606420
"098256","005","425131",7736877
"098260","005","425131",2960086
"098277","005","425131",15047226
"098281","005","425131",16731317
"098298","005","425131",7629680
"098303","005","425131",8613453
"098310","005","425131",4657747
"098324","005","425131",5349000
"098331","005","425131",2552012
"098345","005","425131",1252920
"098352","005","425131",12325765
"098366","005","425131",6443540
"098370","005","425131",804828
"098387","005","425131",7514000
"098391","005","425131",697620
"098409","005","425131",4365871
"098413","005","425131",1623125
"098420","005","425131",8880547
"098434","005","425131",17494296
"098441","005","425131",21309750
"098455","005","425131",9840600
"098462","005","425131",9307024
"098476","005","425131",9419409
"098480","005","425131",9696456
"098497","005","425131",12344643
"098502","005","425131",18188676
"098519","005","425131",12074940
"098523","005","425131",9045100
"098530","005","425131",15633492
"098544","005","425131",11811669
"098551","005","425131",6876927
"098565","005","425131",18014718
"098572","005","425131",12255000
"098586","005","425131",27934510
"098590","005","425131",10041945
"098608","005","425131",8532216
"098612","005","425131",39294117
"098629","005","425131",15705524
"098633","005","425131",18202182
"098640","005","425131",2261430
"098654","005","425131",14015300
"098661","005","425131",7724068
"098675","005","425131",4697067
"098682","005","425131",2288770
"098696","005","425131",4158850
"098701","005","425131",10905050
"098718","005","425131",1881714
"098722","005","425131",12907880
"098739","005","425131",5879541
"098743","005","425131",31066437
"098750","005","425131",20278000
"098764","005","425131",15507185
"098771","005","425131",8301465
"098785","005","425131",19498000
"098792","005","425131",13488566
"098807","005","425131",24621000
"098811","005","425131",20847563
"098828","005","425131",14519432
"098832","005","425131",21946334
"098849","005","425131",19804473
"098853","005","425131",44917948
"098860","005","425131",10982494
"098874","005","425131",10621046
"098881","005","425131",15366325
"098895","005","425131",12074170
"098900","005","425131",15350104
"098917","005","425131",3254000
"098921","005","425131",6000000
"098938","005","425131",25239182
"098942","005","425131",9444897
"098959","005","425131",9059450
"098963","005","425131",13978504
"098970","005","425131",10184518
"098984","005","425131",16096560
"098991","005","425131",8755818
"099003","005","425131",19936292
"099010","005","425131",15914415
"099024","005","425131",18441697
"099031","005","425131",28990831
"099045","005","425131",8728371
"099052","005","425131",7638970
"099066","005","425131",11136600
"099068","005","425131",0
"099070","005","425131",3078727
"099071","005","425131",108000
"099087","005","425131",11049125
"099091","005","425131",14596242
"099109","005","425131",11436414
"099113","005","425131",14247020
"099120","005","425131",12847878
"099134","005","425131",13810000
"099137","005","425131",0
"099141","005","425131",9210504
"099155","005","425131",4974575
"099162","005","425131",11893414
"099176","005","425131",11678146
"099180","005","425131",12052444
"099197","005","425131",11593671
"099201","005","425131",0
"099202","005","425131",7464454
"099219","005","425131",12270258
"099223","005","425131",15695064
"099230","005","425131",11602104
"099244","005","425131",14076180
"099251","005","425131",10401440
"099265","005","425131",13940240
"099272","005","425131",15432572
"099286","005","425131",28143430
"099290","005","425131",32727100
"099308","005","425131",38141878
"099312","005","425131",44983980
"099329","005","425131",8992236
"099333","005","425131",5791500
"099340","005","425131",15800400
"099354","005","425131",21231498
"099361","005","425131",12107714
"099375","005","425131",17301900
"099382","005","425131",5800000
"099396","005","425131",24225812
"099401","005","425131",19406656
"099418","005","425131",30887972
"099422","005","425131",17674075
"099439","005","425131",6358070
"099443","005","425131",0
"099450","005","425131",17152120
"099464","005","425131",12930080
"099471","005","425131",7101039
"099485","005","425131",7493050
"099492","005","425131",9119034
"099507","005","425131",4356580
"099511","005","425131",2967430
"099528","005","425131",4814271
"099532","005","425131",24662386
"099549","005","425131",10554971
"099550","005","425131",0
"099553","005","425131",7442904
"099560","005","425131",12394695
"099574","005","425131",955940
"099581","005","425131",30530808
"099595","005","425131",14039136
"099600","005","425131",13679907
"099617","005","425131",14489750
"099621","005","425131",15107099
"099638","005","425131",3318722
"099642","005","425131",3686436
"099659","005","425131",7687700
"099660","005","425131",0
"099663","005","425131",6030000
"099670","005","425131",2417000
"099684","005","425131",3255000
"099691","005","425131",16872504
"099706","005","425131",10885257
"099710","005","425131",10623320
"099727","005","425131",9088200
"099731","005","425131",11481007
"099748","005","425131",541352
"099752","005","425131",3712268
"099769","005","425131",3409530
"099773","005","425131",32861752
"099780","005","425131",26147990
"099794","005","425131",22292114
"099802","005","425131",7757252
"099816","005","425131",7509200
"099820","005","425131",12649020
"099837","005","425131",9160468
"099841","005","425131",3880000
"099858","005","425131",11832327
"099862","005","425131",25013974
"099879","005","425131",26249400
"099883","005","425131",12914420
"099890","005","425131",16139436
"099905","005","425131",16984320
"099912","005","425131",8508444
"099926","005","425131",11136498
"099930","005","425131",11619823
"099947","005","425131",8950462
"099951","005","425131",7673920
"099968","005","425131",18013812
"099972","005","425131",18925000
"099989","005","425131",4697345
"099993","005","425131",7848280
"108025","005","425131",1394867
"108309","005","425131",7120080
"307101","005","425131",4191270
"307115","005","425131",359500
"307122","005","425131",2063985
"307161","005","425131",2333840
"307182","005","425131",1676000
"307204","005","425131",900690
"307225","005","425131",0
"307246","005","425131",4851000
"307250","005","425131",8483341
"307271","005","425131",3287790
"307288","005","425131",0
"307292","005","425131",5846400
"307300","005","425131",1209910
"307424","005","425131",7873650
"307431","005","425131",368104
"307445","005","425131",489572
"307466","005","425131",1399040
"307470","005","425131",0
"307509","005","425131",5413556
"307513","005","425131",197076
"307520","005","425131",12363120
"307555","005","425131",100900
"307562","005","425131",1759450
"307576","005","425131",2434566
"307619","005","425131",1039500
"307623","005","425131",4071650
"307630","005","425131",778750
"307644","005","425131",1160000
"307651","005","425131",442674
"307690","005","425131",445000
"307708","005","425131",2039500
"307729","005","425131",2950000
"307754","005","425131",17718106
"307761","005","425131",736630
"307775","005","425131",4026000
"307782","005","425131",677600
"307796","005","425131",519864
"307801","005","425131",109000
