"kdsatker","kddept","kdmak","TARGET","volume"
"005587","006","425233",11800000,1.000
"005587","006","425236",10500000,1.000
"005587","006","425237",271400000,1.000
"005587","006","425238",11800000,1.000
"005587","006","425249",27700000,1.000
"005591","006","425131",7700000,1.000
"005591","006","425233",23600000,1.000
"005591","006","425236",10500000,1.000
"005591","006","425237",660800000,1.000
"005591","006","425238",11800000,1.000
"005591","006","425249",16800000,1.000
"005609","006","425131",6000000,1.000
"005609","006","425233",23600000,1.000
"005609","006","425236",31500000,1.000
"005609","006","425237",436600000,1.000
"005609","006","425238",59000000,1.000
"005609","006","425249",6200000,1.000
"005613","006","425131",8700000,1.000
"005613","006","425233",23600000,1.000
"005613","006","425236",10500000,1.000
"005613","006","425237",672600000,1.000
"005613","006","425238",35400000,1.000
"005613","006","425249",21900000,1.000
"005620","006","425131",5900000,1.000
"005620","006","425233",11800000,1.000
"005620","006","425236",10500000,1.000
"005620","006","425237",365800000,1.000
"005620","006","425238",35400000,1.000
"005620","006","425249",2400000,1.000
"005634","006","425131",1000000,1.000
"005634","006","425233",1770000,1.000
"005634","006","425236",10500000,1.000
"005634","006","425237",23600000,1.000
"005634","006","425238",5900000,1.000
"005634","006","425249",4700000,1.000
"005641","006","425131",4700000,1.000
"005641","006","425233",23600000,1.000
"005641","006","425236",10500000,1.000
"005641","006","425237",377600000,1.000
"005641","006","425238",47200000,1.000
"005641","006","425249",10800000,1.000
"005655","006","425131",27270000,1.000
"005662","006","425233",48700000,1.000
"005662","006","425237",390000000,1.000
"005662","006","425238",171000000,1.000
"005662","006","425246",692500000,1.000
"005662","006","425247",79200000,1.000
"005662","006","425249",43900000,1.000
"005676","006","425233",3000000,1.000
"005676","006","425236",9000000,1.000
"005676","006","425237",200000000,1.000
"005676","006","425238",5000000,1.000
"005676","006","425241",10000000,1.000
"005676","006","425243",75000000,1.000
"005676","006","425246",50000000,1.000
"005676","006","425249",6000000,1.000
"005680","006","425131",8400000,12.000
"005680","006","425233",7700000,1.000
"005680","006","425236",9700000,2.000
