"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099108","005","425239",818,44,8159
"099110","005","425232",31,1,122
"099110","005","425233",72,6,126
"099110","005","425239",357,51,4151
"099111","005","425232",56,1,90
"099111","005","425233",91,7,119
"099111","005","425239",487,35,4928
"099112","005","425232",1,1,6
"099112","005","425233",53,6,248
"099112","005","425239",255,34,6136
"099114","005","425231",112,1,1444
"099114","005","425232",169,1,497
"099114","005","425233",198,7,503
"099114","005","425239",693,38,7618
"099115","005","425231",21,1,28
"099115","005","425232",258,1,834
"099115","005","425233",352,8,696
"099115","005","425239",1939,53,31318
"099116","005","425231",7,1,7
"099116","005","425232",128,1,326
"099116","005","425233",183,8,392
"099116","005","425239",1122,62,10208
"099117","005","425232",49,1,137
"099117","005","425233",97,8,309
"099117","005","425239",522,48,8819
"099118","005","425232",6,1,54
"099118","005","425233",111,11,496
"099118","005","425239",286,37,14966
"099119","005","425231",7,1,8
"099119","005","425232",61,1,428
"099119","005","425233",141,8,454
"099119","005","425239",611,37,8707
"099121","005","425231",2,1,3
"099121","005","425232",13,1,220
"099121","005","425233",58,4,415
"099121","005","425239",183,6,7597
"099122","005","425231",25,1,25
"099122","005","425232",125,1,261
"099122","005","425233",220,11,545
"099122","005","425239",1375,72,13807
"099123","005","425231",1,1,3
"099123","005","425233",100,7,280
"099123","005","425239",622,43,13096
"099124","005","425231",2,1,2
"099124","005","425232",133,1,367
"099124","005","425233",167,6,429
"099124","005","425239",757,30,7696
"099125","005","425231",2,1,2
"099125","005","425232",48,1,84
"099125","005","425233",106,7,157
"099125","005","425239",648,32,5382
"099126","005","425232",2,1,3
"099126","005","425233",63,7,174
"099126","005","425239",329,46,3103
"099127","005","425231",2,1,2
"099127","005","425233",48,4,160
"099127","005","425239",219,22,3322
"099128","005","425231",13,1,503
"099128","005","425232",230,1,288
"099128","005","425233",72,9,934
"099128","005","425239",1453,54,22220
"099129","005","425231",2,1,2
"099129","005","425232",106,1,392
"099129","005","425233",168,8,555
"099129","005","425239",644,41,7588
"099130","005","425232",45,1,257
"099130","005","425233",97,9,366
"099130","005","425239",383,41,7004
"099131","005","425231",25,1,34
"099131","005","425232",239,1,1724
"099131","005","425233",355,11,1741
"099131","005","425239",2170,68,37018
"099132","005","425239",98,2,1944
"099133","005","425231",43,1,77
"099133","005","425232",109,1,3357
"099133","005","425233",432,21,5138
"099133","005","425239",1137,58,104805
"099134","005","425131",1,1,1
"099134","005","425912",1,1,1
"099135","005","425232",32,1,145
"099135","005","425233",56,6,244
"099135","005","425239",193,7,4960
"099136","005","425232",57,1,664
"099136","005","425233",69,6,433
"099136","005","425239",363,37,11349
"099137","005","425131",1,1,1
"099137","005","425232",3,1,40
"099137","005","425233",78,6,418
"099137","005","425239",233,17,6917
"099138","005","425231",25,1,859
"099138","005","425232",39,1,652
"099138","005","425233",69,4,446
"099138","005","425239",172,8,19697
"099139","005","425231",32,1,61
"099139","005","425232",228,1,1293
"099139","005","425233",389,10,1210
"099139","005","425239",2448,50,45033
"099140","005","425232",6,1,288
"099140","005","425233",57,8,467
"099140","005","425239",208,41,15224
"099141","005","425131",1,1,1
"099142","005","425232",39,1,151
"099142","005","425233",58,4,354
"099142","005","425239",425,35,6414
"099143","005","425231",1,1,1
"099143","005","425232",32,1,92
"099143","005","425233",62,4,152
"099143","005","425239",355,32,4180
"099144","005","425231",20,1,26
"099144","005","425233",152,5,753
"099144","005","425239",1181,52,30761
"099145","005","425231",9,1,9
"099145","005","425232",78,1,197
"099145","005","425233",250,7,720
"099145","005","425239",1369,45,28146
"099146","005","425231",2,1,2
"099146","005","425232",99,1,161
"099146","005","425233",151,7,252
"099146","005","425239",1497,51,6752
"099147","005","425131",1,1,1
"099147","005","425231",7,1,7
"099147","005","425232",106,1,201
"099147","005","425233",172,11,275
"099147","005","425239",1061,53,9942
"099148","005","425231",6,1,8
"099148","005","425232",26,1,40
"099148","005","425233",170,9,275
"099148","005","425239",925,47,10402
"099149","005","425231",5,1,24
"099149","005","425232",35,1,746
"099149","005","425233",84,6,1246
"099149","005","425239",480,43,14474
"099150","005","425231",11,1,13
"099150","005","425232",34,1,128
"099150","005","425233",34,3,146
"099150","005","425239",150,7,2674
"099151","005","425231",44,1,1272
"099151","005","425232",53,1,420
"099151","005","425233",92,5,506
"099151","005","425239",251,6,9664
"099152","005","425232",165,1,1287
"099152","005","425233",292,10,1345
"099152","005","425239",1491,61,21907869
"099153","005","425231",2,1,2
"099153","005","425232",56,1,128
"099153","005","425233",85,8,173
"099153","005","425239",503,40,4644
"099154","005","425231",1,1,1
"099154","005","425232",23,1,98
"099154","005","425233",53,6,121
"099154","005","425239",240,39,4378
"099155","005","425131",3,1,7
"099156","005","425231",2,1,2
"099156","005","425232",34,1,56
"099156","005","425233",98,6,159
"099156","005","425239",671,42,4538
"099157","005","425231",2,1,2
"099157","005","425232",74,1,416
"099157","005","425233",195,9,618
"099157","005","425239",1057,47,14730
"099158","005","425232",12,1,127
"099158","005","425233",73,9,324
"099158","005","425239",509,51,3200
"099159","005","425231",4,1,4
"099159","005","425232",23,1,48
"099159","005","425233",55,5,308
