"kdsatker","kddept","kdmak","thang","volume"
"005041","006","425991","2023",5000000.000
"005041","006","425999","2023",10000000.000
"005058","006","425122","2023",5000000.000
"005058","006","425129","2023",1000000.000
"005058","006","425131","2023",25000000.000
"005058","006","425139","2023",1000000.000
"005058","006","425233","2023",40000000.000
"005058","006","425236","2023",280000000.000
"005058","006","425237","2023",4000000000.000
"005058","006","425238","2023",1800000000.000
"005058","006","425239","2023",800000000.000
"005058","006","425241","2023",5000000.000
"005058","006","425242","2023",1.000
"005058","006","425243","2023",5000000.000
"005058","006","425244","2023",5000000.000
"005058","006","425245","2023",50000000.000
"005058","006","425246","2023",50000000.000
"005058","006","425247","2023",2000000.000
"005058","006","425248","2023",1000000.000
"005058","006","425249","2023",1200000000.000
"005058","006","425999","2023",1000000.000
"005062","006","425122","2023",5500000.000
"005062","006","425129","2023",5500000.000
"005062","006","425131","2023",33000000.000
"005062","006","425139","2023",5500000.000
"005062","006","425233","2023",880000000.000
"005062","006","425236","2023",8050000000.000
"005062","006","425237","2023",24750000000.000
"005062","006","425238","2023",7150000000.000
"005062","006","425239","2023",2965000000.000
"005062","006","425241","2023",8600000000.000
"005062","006","425242","2023",1650000000.000
"005062","006","425243","2023",28200000000.000
"005062","006","425244","2023",220000000.000
"005062","006","425245","2023",11150000000.000
"005062","006","425246","2023",6400000000.000
"005062","006","425247","2023",110000000.000
"005062","006","425248","2023",2200000000.000
"005062","006","425249","2023",1650000000.000
"005062","006","425999","2023",11000000.000
"005079","006","425122","2023",1000000.000
"005079","006","425129","2023",1000000.000
"005079","006","425131","2023",1000000.000
"005079","006","425139","2023",1000000.000
"005079","006","425233","2023",100000000.000
"005079","006","425236","2023",80000000000.000
"005079","006","425237","2023",10000000000.000
"005079","006","425238","2023",5000000000.000
"005079","006","425239","2023",2875000000.000
"005079","006","425241","2023",10000000000.000
"005079","006","425242","2023",1000000.000
"005079","006","425243","2023",20000000000.000
"005079","006","425244","2023",1000000.000
"005079","006","425245","2023",15000000000.000
"005079","006","425246","2023",6800000000.000
"005079","006","425247","2023",1000000.000
"005079","006","425248","2023",1000000.000
"005079","006","425249","2023",1000000.000
"005079","006","425811","2023",1000000.000
"005079","006","425999","2023",11000000.000
"005083","006","425122","2023",1.000
"005083","006","425129","2023",1.000
"005083","006","425131","2023",1.000
"005090","006","425131","2023",1.000
"005090","006","425233","2023",1.000
"005090","006","425236","2023",1.000
"005090","006","425237","2023",1.000
"005090","006","425238","2023",1.000
"005090","006","425239","2023",1.000
"005090","006","425241","2023",1.000
"005090","006","425243","2023",1.000
"005090","006","425246","2023",1.000
"005090","006","425249","2023",1.000
"005105","006","425131","2023",1.000
"005105","006","425233","2023",1.000
"005105","006","425236","2023",1.000
"005105","006","425237","2023",1.000
"005105","006","425238","2023",1.000
"005105","006","425239","2023",1.000
"005105","006","425241","2023",1.000
"005105","006","425243","2023",1.000
"005105","006","425246","2023",181000000.000
"005105","006","425249","2023",8600000.000
"005112","006","425131","2023",1.000
"005112","006","425233","2023",1.000
"005112","006","425236","2023",1.000
"005112","006","425237","2023",1.000
"005112","006","425238","2023",1.000
"005112","006","425239","2023",1.000
"005112","006","425243","2023",1.000
"005112","006","425249","2023",1.000
"005126","006","425131","2023",1.000
"005126","006","425233","2023",1.000
"005126","006","425236","2023",1.000
"005126","006","425237","2023",1.000
"005126","006","425238","2023",1.000
"005126","006","425243","2023",1.000
"005126","006","425249","2023",1.000
"005130","006","425131","2023",1.000
"005130","006","425233","2023",1.000
"005130","006","425236","2023",1.000
"005130","006","425237","2023",1.000
"005130","006","425238","2023",1.000
"005130","006","425249","2023",1.000
"005147","006","425131","2023",1.000
"005147","006","425233","2023",1.000
"005147","006","425236","2023",1.000
"005147","006","425237","2023",1.000
"005147","006","425238","2023",1.000
"005147","006","425239","2023",1.000
"005147","006","425243","2023",1.000
"005151","006","425131","2023",1.000
"005151","006","425233","2023",1.000
"005151","006","425236","2023",1.000
"005151","006","425237","2023",1.000
"005151","006","425238","2023",1.000
"005151","006","425239","2023",1.000
"005151","006","425243","2023",1.000
"005151","006","425246","2023",1.000
"005151","006","425249","2023",1.000
"005168","006","425131","2023",1.000
"005168","006","425233","2023",1.000
"005168","006","425236","2023",1.000
"005168","006","425237","2023",1.000
"005168","006","425238","2023",1.000
"005168","006","425239","2023",1.000
"005168","006","425249","2023",1.000
"005189","006","425131","2023",1600000.000
"005189","006","425233","2023",1.000
"005189","006","425236","2023",1.000
"005189","006","425237","2023",1.000
"005189","006","425243","2023",1.000
"005189","006","425246","2023",1.000
"005189","006","425249","2023",1.000
"005193","006","425129","2023",1.000
"005193","006","425131","2023",1.000
"005193","006","425233","2023",1.000
"005193","006","425236","2023",1.000
"005193","006","425237","2023",1.000
"005193","006","425238","2023",1.000
"005193","006","425243","2023",1.000
"005193","006","425249","2023",1.000
"005201","006","425131","2023",1.000
"005201","006","425233","2023",1.000
"005201","006","425236","2023",1.000
"005201","006","425237","2023",1.000
"005201","006","425238","2023",1.000
"005201","006","425239","2023",1.000
"005201","006","425243","2023",1.000
"005201","006","425246","2023",1.000
"005201","006","425249","2023",1.000
"005215","006","425131","2023",1.000
"005215","006","425233","2023",1.000
"005215","006","425236","2023",1.000
