No;TAHUN;KDDEPT;NMDEPT;NMSATKER;KDSATKER;KATEGORI;TEMUAN;NILAI
83;2022;25;025  KEMENTERIAN AGAMA;UIN Sunan Gunung Djati Bandung;423523;DIGUNAKAN LANGSUNG;"penerimaan dan pengeluaran MI menunjukkan adanya penggunaan langsung dari
penerimaan untuk kegiatan operasional sebesar Rp233.524.000,00";233524000
84;2022;25;025  KEMENTERIAN AGAMA;IAIN Syekh Nurjati Cirebon;423532;DIGUNAKAN LANGSUNG;"Pusat Pengembangan Bahasa: Data sertifikat
yang terbit selama tahun 2022 sebanyak 241 sertifikat TOAFL dan 181 sertifikat
TOEFL yang terbit dengan nilai penerimaan sedikitnya Rp63.300.000,00.
Penerimaan dari biaya tes tersebut tidak disetorkan dan tidak dilaporkan ke
bendahara penerimaan sebagai PNBP namun langsung digunakan untuk
operasional.
Day Care:  Berdasarkan pembukuan tahun 2022, terdapat penerimaan yang digunakan langsung sebesar Rp55.119.000,00 untuk
operasional daycare. Belum terdapat pedoman pengelolaan atas penerimaan dan pengeluaran daycare, sehingga daycare belum pernah melaporkan
penerimaannya kepada bendahara penerimaan/pusat bisnis sebagai penerimaan
BLU.";118419000
85;2022;25;025  KEMENTERIAN AGAMA;UIN Sultan Maulana Hasanuddin Banten;423548;DIGUNAKAN LANGSUNG;"penggunaan langsung atas PNBP yang berasal dari
pelayanan TOAFL di Pusat Bahasa untuk operasional penyelenggaraan TOAFL
sebesar Rp13.815.000,00";13815000
86;2022;25;025  KEMENTERIAN AGAMA;UIN Sultan Syarif Kasim Riau;424157;DIGUNAKAN LANGSUNG;"terdapat penerimaan dari penyelenggaraan ujian bahasa (TOEFL dan
TOAFL) yang dilaksanakan pada tahun 2022 tidak dilaporkan dan disetorkan ke
rekening penerimaan BLU sebesar Rp25.400.000,00 yang digunakan untuk
menalangi kegiatan Program Persiapan Studi Lanjut (PPSL) S3";25400000
87;2022;25;025  KEMENTERIAN AGAMA;UIN Sunan Ampel Surabaya;423770;DIGUNAKAN LANGSUNG;"Pendapatan yang diperoleh dari pengelolaan bisnis
tersebut tidak dilaporkan melalui mekanisme pengesahan (digunakan langsung) dan
pengeluarannya tidak dianggarkan dalam RBA";
88;2022;25;025  KEMENTERIAN AGAMA;UIN Sunan Kalijaga Yogyakarta;423755;DIGUNAKAN LANGSUNG;"Pendapatan yang diperoleh dari pengelolaan bisnis tidak dilaporkan melalui
mekanisme pengesahan (digunakan langsung) dan pengeluarannya tidak
dianggarkan dalam RBA";
89;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Jawa Tengah;679588;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;2.428.400.000,00
90;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Kalimantan Timur;679791;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;481.881.000,00
91;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Sulawesi Utara;679813;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;785.568.000,00
92;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Papua Barat;473017;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;479.808.000,00
93;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Sulawesi Tengah;679834;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;249.175.000,00
94;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Aceh;679326;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;643.860.000,00
95;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Metro Jaya;650971;DIGUNAKAN LANGSUNG;Bank Indonesia melakukan pembayaran secara langsung kepada personel Brimob Polda setempat secara tunai paling lambat tanggal 15 bulan berikutnya setelah pelaksanaan pengamanan dan pengawalan BI selesai. ;5.164.263.200,00
96;2022;22;022  KEMENTERIAN PERHUBUNGAN;KSOP Kelas I Tanjung Balai Karimun;413180;TANPA DASAR HUKUM;Hasil pemeriksaan atas perjanjian konsesi dengan PT APS dan dokumen pendukung lainnya diketahui terdapat PNBP jasa konsesi PT APS sebesar Rp1.355.191.754,00 yang di antaranya terdapat pendapatan STS Sharing Profit sebesar Rp94.863.423,00 (periode bulan Juli s.d. November 2022) yang tidak diatur dalam perjanjian konsesi;4.863.423
97;2022;22;022  KEMENTERIAN PERHUBUNGAN;KSOP Kelas IV Meulaboh;412998;TANPA DASAR HUKUM;KSOP Kelas IV Meulaboh tahun 2022 memungut PNBP Jasa Kepelabuhanan STS dari PT MB sebesar Rp9.433.858.500,00 dan PT PLN (Persero) sebesar Rp299.419.243,00 dengan total keseluruhan sebesar Rp9.733.277.743,00. PNBP alih muat/STS tersebut dipungut atas kegiatan yang dilakukan di luar lokasi yang diperjanjikan dan tidak ditindaklanjuti dengan izin serta perubahan perjanjian penggunaan perairan pada terminal khusus PT MB dan PT PLN (Persero);9.733.277.743
98;2022;22;022  KEMENTERIAN PERHUBUNGAN;Ditjen Perhubungan Udara - UPBU Mutiara Sis Al-Jufri;288401;TANPA DASAR HUKUM;"a. Sebanyak 47 mitra penyewa memiliki perjanjian sewa namun belum didukung dengan denah/layout dan lokasi yang disewakan. Selain itu, dua dari 47 mitra penyewa diperlukan adendum perjanjian karena perubahan lokasi dan luasan aset yang disewa; dan 
b) Sebanyak 15 mitra penyewa belum memiliki perjanjian sewa pemanfaatan.";819.698.835
