"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099078","005","425232",17,1,108
"099078","005","425233",49,5,212
"099078","005","425239",106,12,5863
"099079","005","425231",42,1,91
"099079","005","425232",155,1,600
"099079","005","425233",234,10,1165
"099079","005","425239",1935,52,26335
"099080","005","425232",122,1,384
"099080","005","425233",174,8,449
"099080","005","425239",857,50,12697
"099081","005","425232",11,1,63
"099081","005","425233",28,4,48
"099081","005","425239",150,29,2800
"099082","005","425231",12,1,18
"099082","005","425232",65,1,178
"099082","005","425233",223,10,489
"099082","005","425239",1205,49,8858
"099083","005","425232",43,1,117
"099083","005","425233",76,5,139
"099083","005","425239",362,38,5331
"099084","005","425232",38,1,150
"099084","005","425233",45,8,212
"099084","005","425239",308,31,5887
"099085","005","425232",60,1,115
"099085","005","425233",116,6,220
"099085","005","425239",616,33,7437
"099086","005","425232",16,1,215
"099086","005","425233",30,6,222
"099086","005","425239",152,29,5364
"099088","005","425232",26,1,148
"099088","005","425233",31,5,156
"099088","005","425239",191,31,3888
"099089","005","425231",3,1,4
"099089","005","425232",53,1,86
"099089","005","425233",58,6,95
"099089","005","425239",438,41,4877
"099090","005","425239",31,2,960
"099091","005","425911",1,1,1
"099092","005","425231",13,1,20
"099092","005","425232",55,1,457
"099092","005","425233",306,16,1218
"099092","005","425239",1336,74,28624
"099093","005","425232",35,1,84
"099093","005","425233",64,5,156
"099093","005","425239",372,31,4539
"099094","005","425231",9,1,9
"099094","005","425232",41,1,69
"099094","005","425233",117,8,468
"099094","005","425239",568,36,7670
"099095","005","425232",48,1,161
"099095","005","425233",67,6,219
"099095","005","425239",372,37,5694
"099095","005","425912",4,1,4
"099096","005","425231",1,1,3
"099096","005","425232",37,1,46
"099096","005","425233",137,5,340
"099096","005","425239",939,39,10132
"099097","005","425231",1,1,1
"099097","005","425232",15,1,66
"099097","005","425233",66,3,140
"099097","005","425239",311,22,4395
"099098","005","425231",2,1,3
"099098","005","425232",77,1,234
"099098","005","425233",114,6,310
"099098","005","425239",571,35,4525
"099099","005","425232",25,1,38
"099099","005","425233",132,8,215
"099099","005","425239",725,46,7988
"099100","005","425233",31,6,167
"099100","005","425239",76,5,5523
"099101","005","425232",17,1,218
"099101","005","425233",44,4,229
"099101","005","425239",167,19,3758
"099102","005","425231",8,1,11
"099102","005","425232",2,1,2
"099102","005","425233",44,7,246
"099102","005","425239",289,41,6444
